Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,State,longitude,latitude,discharge_amnt_total
Hybrid Fibre Coaxial (HFC),10/02/2020,2RAM-A0229,In Service,New South Wales,151.102167,-33.984665,1
Hybrid Fibre Coaxial (HFC),19/03/2020,2RAM-A0238,In Service,New South Wales,151.11543,-33.991137,1
Hybrid Fibre Coaxial (HFC),12/03/2020,2RAM-A0240,In Service,New South Wales,151.100626,-33.976863,1
Hybrid Fibre Coaxial (HFC),17/05/2019,2RAM-A0243,In Service,New South Wales,151.105919,-33.975376,1
Hybrid Fibre Coaxial (HFC),17/05/2019,2RAM-A0244,In Service,New South Wales,151.105761,-33.975357,1
Hybrid Fibre Coaxial (HFC),17/05/2019,2RAM-A0245,In Service,New South Wales,151.10506,-33.976108,1
Hybrid Fibre Coaxial (HFC),17/05/2019,2RAM-A0246,In Service,New South Wales,151.107165,-33.9789,1
Hybrid Fibre Coaxial (HFC),17/05/2019,2RAM-A0247,In Service,New South Wales,151.104534,-33.976461,1
Hybrid Fibre Coaxial (HFC),17/05/2019,2RAM-A0250,In Service,New South Wales,151.104331,-33.976578,1
Hybrid Fibre Coaxial (HFC),17/04/2020,2RAM-A0251,In Service,New South Wales,151.124888,-33.982901,1
Hybrid Fibre Coaxial (HFC),8/05/2020,2RAM-A0254,In Service,New South Wales,151.109106,-33.980628,1
Hybrid Fibre Coaxial (HFC),//,2RAM-A0255,Proposed,New South Wales,151.089501,-33.988845,1
Hybrid Fibre Coaxial (HFC),8/05/2020,2RAM-A0257,In Service,New South Wales,151.124907,-33.982756,1
Hybrid Fibre Coaxial (HFC),8/05/2020,2RAM-A0259,In Service,New South Wales,151.109881,-33.996404,1
Hybrid Fibre Coaxial (HFC),5/07/2019,2RAM-A0267,In Service,New South Wales,151.119481,-33.981892,1
Hybrid Fibre Coaxial (HFC),5/07/2019,2RAM-A0268,In Service,New South Wales,151.1185,-33.981872,1
Hybrid Fibre Coaxial (HFC),5/07/2019,2RAM-A0269,In Service,New South Wales,151.119587,-33.983983,1
Hybrid Fibre Coaxial (HFC),//,2RAM-A0277,Proposed,New South Wales,151.112085,-33.975568,1
Hybrid Fibre Coaxial (HFC),16/11/2018,2PNN-A0021,In Service,New South Wales,151.047948,-33.732042,1
Hybrid Fibre Coaxial (HFC),10/12/2019,2CAR-A0491,In Service,New South Wales,151.04749,-33.746462,1
Hybrid Fibre Coaxial (HFC),27/05/2019,2CAR-A0510,In Service,New South Wales,151.048002,-33.749125,1
Hybrid Fibre Coaxial (HFC),12/11/2019,2CAR-A0522,In Service,New South Wales,151.045116,-33.748435,1
Hybrid Fibre Coaxial (HFC),16/04/2020,2CAR-A0570,In Service,New South Wales,151.046423,-33.747984,1
Hybrid Fibre Coaxial (HFC),21/06/2019,2HOR-A0023,In Service,New South Wales,151.091176,-33.691503,1
Hybrid Fibre Coaxial (HFC),21/06/2019,2HOR-A0025,In Service,New South Wales,151.094003,-33.684163,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2HOR-A0027,In Service,New South Wales,151.115972,-33.678267,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0032,In Service,New South Wales,151.113757,-33.688734,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0033,In Service,New South Wales,151.103127,-33.661756,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0034,In Service,New South Wales,151.094166,-33.665197,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0038,In Service,New South Wales,151.108509,-33.647581,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0042,In Service,New South Wales,151.102043,-33.682906,1
Hybrid Fibre Coaxial (HFC),21/06/2019,2HOR-A0043,In Service,New South Wales,151.092994,-33.705414,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0057,In Service,New South Wales,151.106901,-33.689213,1
Hybrid Fibre Coaxial (HFC),21/06/2019,2HOR-A0071,In Service,New South Wales,151.086142,-33.703043,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0085,In Service,New South Wales,151.108748,-33.680118,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2HOR-A0102,In Service,New South Wales,151.097774,-33.673735,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2HOR-A0104,In Service,New South Wales,151.110369,-33.673382,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2HOR-A0105,In Service,New South Wales,151.115916,-33.66637,1
Hybrid Fibre Coaxial (HFC),21/06/2019,2HOR-A0153,In Service,New South Wales,151.09467,-33.709444,1
Hybrid Fibre Coaxial (HFC),21/06/2019,2HOR-A0190,In Service,New South Wales,151.096294,-33.70379,1
Hybrid Fibre Coaxial (HFC),1/01/2000,2HOR-A0245,In Service,New South Wales,151.131107,-33.662855,1
Hybrid Fibre Coaxial (HFC),1/01/2000,2HOR-A0246,In Service,New South Wales,151.13213,-33.662926,1
Hybrid Fibre Coaxial (HFC),11/02/2020,2HOR-A0389,In Service,New South Wales,151.112246,-33.683534,1
Hybrid Fibre Coaxial (HFC),15/11/2019,2HOR-A0408,In Service,New South Wales,151.114631,-33.686879,1
Hybrid Fibre Coaxial (HFC),28/11/2019,2HOR-A0411,In Service,New South Wales,151.116136,-33.688566,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0425,Proposed,New South Wales,151.09321,-33.709607,1
Hybrid Fibre Coaxial (HFC),17/12/2019,2HOR-A0430,In Service,New South Wales,151.09505,-33.691305,1
Hybrid Fibre Coaxial (HFC),26/11/2019,2HOR-A0431,In Service,New South Wales,151.112338,-33.688081,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2HOR-A0433,In Service,New South Wales,151.096858,-33.686356,1
Hybrid Fibre Coaxial (HFC),31/10/2019,2HOR-A0435,In Service,New South Wales,151.118031,-33.674959,1
Hybrid Fibre Coaxial (HFC),24/05/2019,2HOR-A0436,In Service,New South Wales,151.099989,-33.664191,1
Hybrid Fibre Coaxial (HFC),13/08/2019,2HOR-A0437,In Service,New South Wales,151.108583,-33.679715,1
Hybrid Fibre Coaxial (HFC),29/03/2019,2HOR-A0438,In Service,New South Wales,151.106429,-33.681023,1
Hybrid Fibre Coaxial (HFC),3/09/2019,2HOR-A0439,In Service,New South Wales,151.112742,-33.687942,1
Hybrid Fibre Coaxial (HFC),24/06/2019,2HOR-A0440,In Service,New South Wales,151.112548,-33.689208,1
Hybrid Fibre Coaxial (HFC),15/10/2019,2HOR-A0441,In Service,New South Wales,151.092228,-33.691188,1
Hybrid Fibre Coaxial (HFC),17/09/2019,2HOR-A0442,In Service,New South Wales,151.093179,-33.693244,1
Hybrid Fibre Coaxial (HFC),16/12/2019,2HOR-A0443,In Service,New South Wales,151.093641,-33.690466,1
Hybrid Fibre Coaxial (HFC),8/11/2019,2HOR-A0444,In Service,New South Wales,151.108844,-33.672929,1
Hybrid Fibre Coaxial (HFC),12/12/2019,2HOR-A0445,In Service,New South Wales,151.108967,-33.673015,1
Hybrid Fibre Coaxial (HFC),28/11/2019,2HOR-A0446,In Service,New South Wales,151.096677,-33.683841,1
Hybrid Fibre Coaxial (HFC),30/11/2019,2HOR-A0447,In Service,New South Wales,151.093613,-33.687038,1
Hybrid Fibre Coaxial (HFC),13/11/2019,2HOR-A0448,In Service,New South Wales,151.09477,-33.691318,1
Hybrid Fibre Coaxial (HFC),28/11/2019,2HOR-A0449,In Service,New South Wales,151.096722,-33.68403,1
Hybrid Fibre Coaxial (HFC),12/12/2019,2HOR-A0450,In Service,New South Wales,151.092375,-33.688808,1
Hybrid Fibre Coaxial (HFC),12/12/2019,2HOR-A0458,In Service,New South Wales,151.09235,-33.688941,1
Hybrid Fibre Coaxial (HFC),11/02/2020,2HOR-A0461,In Service,New South Wales,151.112274,-33.68344,1
Hybrid Fibre Coaxial (HFC),3/03/2020,2HOR-A0469,In Service,New South Wales,151.116185,-33.669064,1
Hybrid Fibre Coaxial (HFC),9/12/2019,2HOR-A0470,In Service,New South Wales,151.114554,-33.68707,1
Hybrid Fibre Coaxial (HFC),30/03/2020,2HOR-A0474,In Service,New South Wales,151.113384,-33.666575,1
Hybrid Fibre Coaxial (HFC),11/03/2020,2HOR-A0475,In Service,New South Wales,151.116669,-33.666574,1
Hybrid Fibre Coaxial (HFC),2/04/2020,2HOR-A0476,In Service,New South Wales,151.097853,-33.668723,1
Hybrid Fibre Coaxial (HFC),20/03/2020,2HOR-A0480,In Service,New South Wales,151.117841,-33.672442,1
Hybrid Fibre Coaxial (HFC),22/04/2020,2HOR-A0481,In Service,New South Wales,151.100192,-33.675631,1
Hybrid Fibre Coaxial (HFC),17/04/2020,2HOR-A0482,In Service,New South Wales,151.092724,-33.689125,1
Hybrid Fibre Coaxial (HFC),11/06/2020,2HOR-A0484,In Service,New South Wales,151.095402,-33.711101,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0485,Proposed,New South Wales,151.117362,-33.67019,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0492,Proposed,New South Wales,151.093902,-33.710139,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0493,Proposed,New South Wales,151.092998,-33.690334,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0494,Proposed,New South Wales,151.094107,-33.702916,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0496,Proposed,New South Wales,151.090967,-33.703576,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0497,Proposed,New South Wales,151.096882,-33.692974,1
Hybrid Fibre Coaxial (HFC),//,2HOR-A0498,Proposed,New South Wales,151.100499,-33.683602,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2PNN-A0001,In Service,New South Wales,151.071749,-33.705252,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2PNN-A0002,In Service,New South Wales,151.086065,-33.724834,1
Hybrid Fibre Coaxial (HFC),29/03/2019,2PNN-A0003,In Service,New South Wales,151.082712,-33.731357,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2PNN-A0004,In Service,New South Wales,151.053612,-33.724285,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2PNN-A0005,In Service,New South Wales,151.07673,-33.726899,1
Hybrid Fibre Coaxial (HFC),16/11/2018,2PNN-A0008,In Service,New South Wales,151.05964,-33.742775,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2PNN-A0013,In Service,New South Wales,151.081327,-33.71391,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2PNN-A0014,In Service,New South Wales,151.053493,-33.70884,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2PNN-A0016,In Service,New South Wales,151.069682,-33.719001,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2PNN-A0017,In Service,New South Wales,151.063005,-33.719616,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2PNN-A0020,In Service,New South Wales,151.050474,-33.716547,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2PNN-A0022,In Service,New South Wales,151.084877,-33.711731,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2PNN-A0023,In Service,New South Wales,151.084549,-33.720614,1
Hybrid Fibre Coaxial (HFC),29/03/2019,2PNN-A0027,In Service,New South Wales,151.078528,-33.736628,1
Hybrid Fibre Coaxial (HFC),16/11/2018,2PNN-A0033,In Service,New South Wales,151.048748,-33.737013,1
Hybrid Fibre Coaxial (HFC),16/11/2018,2PNN-A0034,In Service,New South Wales,151.056452,-33.739912,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2PNN-A0039,In Service,New South Wales,151.04353,-33.727248,1
Hybrid Fibre Coaxial (HFC),24/08/2018,2PNN-A0044,In Service,New South Wales,151.04978,-33.746176,1
Hybrid Fibre Coaxial (HFC),12/10/2018,2PNN-A0046,In Service,New South Wales,151.082799,-33.74387,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2PNN-A0053,In Service,New South Wales,151.065893,-33.731684,1
Hybrid Fibre Coaxial (HFC),29/03/2019,2PNN-A0054,In Service,New South Wales,151.05692,-33.732678,1
Hybrid Fibre Coaxial (HFC),7/12/2018,2PNN-A0069,In Service,New South Wales,151.089024,-33.728745,1
Hybrid Fibre Coaxial (HFC),12/10/2018,2PNN-A0070,In Service,New South Wales,151.072799,-33.748946,1
Hybrid Fibre Coaxial (HFC),29/03/2019,2PNN-A0100,In Service,New South Wales,151.07167,-33.734424,1
Hybrid Fibre Coaxial (HFC),4/03/2020,2PNN-A0196,In Service,New South Wales,151.0701,-33.730107,1
Hybrid Fibre Coaxial (HFC),26/11/2019,2PNN-A0200,In Service,New South Wales,151.081049,-33.720095,1
Hybrid Fibre Coaxial (HFC),31/10/2019,2PNN-A0211,In Service,New South Wales,151.079592,-33.726979,1
Hybrid Fibre Coaxial (HFC),16/01/2020,2PNN-A0215,In Service,New South Wales,151.062309,-33.742127,1
Hybrid Fibre Coaxial (HFC),3/12/2019,2PNN-A0219,In Service,New South Wales,151.086944,-33.717066,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2PNN-A0220,In Service,New South Wales,151.077548,-33.736529,1
Hybrid Fibre Coaxial (HFC),16/10/2019,2PNN-A0221,In Service,New South Wales,151.075333,-33.703869,1
Hybrid Fibre Coaxial (HFC),3/08/2018,2PNN-A0223,In Service,New South Wales,151.064052,-33.736216,1
Hybrid Fibre Coaxial (HFC),24/05/2019,2PNN-A0224,In Service,New South Wales,151.088991,-33.716387,1
Hybrid Fibre Coaxial (HFC),13/06/2019,2PNN-A0226,In Service,New South Wales,151.083963,-33.720621,1
Hybrid Fibre Coaxial (HFC),27/06/2019,2PNN-A0227,In Service,New South Wales,151.086535,-33.727573,1
Hybrid Fibre Coaxial (HFC),24/05/2019,2PNN-A0228,In Service,New South Wales,151.071672,-33.726628,1
Hybrid Fibre Coaxial (HFC),24/06/2019,2PNN-A0229,In Service,New South Wales,151.090819,-33.728788,1
Hybrid Fibre Coaxial (HFC),10/07/2019,2PNN-A0230,In Service,New South Wales,151.066397,-33.730873,1
Hybrid Fibre Coaxial (HFC),19/06/2019,2PNN-A0231,In Service,New South Wales,151.084266,-33.734685,1
Hybrid Fibre Coaxial (HFC),16/10/2019,2PNN-A0233,In Service,New South Wales,151.085622,-33.735777,1
Hybrid Fibre Coaxial (HFC),15/02/2019,2PNN-A0234,In Service,New South Wales,151.051033,-33.734309,1
Hybrid Fibre Coaxial (HFC),19/12/2018,2PNN-A0236,In Service,New South Wales,151.055507,-33.740656,1
Hybrid Fibre Coaxial (HFC),13/06/2019,2PNN-A0237,In Service,New South Wales,151.060129,-33.739517,1
Hybrid Fibre Coaxial (HFC),13/07/2018,2PNN-A0239,In Service,New South Wales,151.073675,-33.740363,1
Hybrid Fibre Coaxial (HFC),14/01/2020,2PNN-A0242,In Service,New South Wales,151.08667,-33.718481,1
Hybrid Fibre Coaxial (HFC),28/11/2019,2PNN-A0245,In Service,New South Wales,151.050397,-33.743487,1
Hybrid Fibre Coaxial (HFC),9/01/2020,2PNN-A0260,In Service,New South Wales,151.086702,-33.717026,1
Hybrid Fibre Coaxial (HFC),7/02/2020,2PNN-A0262,In Service,New South Wales,151.07128,-33.73435,1
Hybrid Fibre Coaxial (HFC),26/02/2020,2PNN-A0263,In Service,New South Wales,151.060866,-33.739618,1
Hybrid Fibre Coaxial (HFC),2/04/2020,2PNN-A0266,In Service,New South Wales,151.058915,-33.739954,1
Hybrid Fibre Coaxial (HFC),12/03/2020,2PNN-A0267,In Service,New South Wales,151.070055,-33.732844,1
Hybrid Fibre Coaxial (HFC),27/02/2020,2PNN-A0268,In Service,New South Wales,151.063391,-33.733412,1
Hybrid Fibre Coaxial (HFC),12/03/2020,2PNN-A0269,In Service,New South Wales,151.050609,-33.7351,1
Hybrid Fibre Coaxial (HFC),1/04/2020,2PNN-A0270,In Service,New South Wales,151.050356,-33.736093,1
Hybrid Fibre Coaxial (HFC),16/11/2018,2PNN-A0271,In Service,New South Wales,151.061039,-33.736349,1
Hybrid Fibre Coaxial (HFC),16/11/2018,2PNN-A0272,In Service,New South Wales,151.061604,-33.737417,1
Hybrid Fibre Coaxial (HFC),17/04/2020,2PNN-A0274,In Service,New South Wales,151.055214,-33.738895,1
Hybrid Fibre Coaxial (HFC),14/04/2020,2PNN-A0277,In Service,New South Wales,151.071436,-33.734572,1
Hybrid Fibre Coaxial (HFC),14/04/2020,2PNN-A0278,In Service,New South Wales,151.078819,-33.733424,1
Hybrid Fibre Coaxial (HFC),18/05/2020,2PNN-A0281,In Service,New South Wales,151.081338,-33.733207,1
Hybrid Fibre Coaxial (HFC),13/05/2020,2PNN-A0282,In Service,New South Wales,151.055079,-33.713087,1
Hybrid Fibre Coaxial (HFC),//,2PNN-A0285,Proposed,New South Wales,151.059704,-33.734988,1
Hybrid Fibre Coaxial (HFC),17/06/2020,2PNN-A0287,In Service,New South Wales,151.07936,-33.735519,1
Hybrid Fibre Coaxial (HFC),16/06/2020,2PNN-A0288,In Service,New South Wales,151.080085,-33.73378,1
Hybrid Fibre Coaxial (HFC),16/06/2020,2PNN-A0289,In Service,New South Wales,151.054014,-33.716446,1
Hybrid Fibre Coaxial (HFC),//,2PNN-A0291,Proposed,New South Wales,151.060002,-33.73988,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0026,In Service,New South Wales,151.125258,-33.735267,1
Hybrid Fibre Coaxial (HFC),26/04/2019,2PYM-A0032,In Service,New South Wales,151.131334,-33.729682,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0036,In Service,New South Wales,151.117213,-33.735398,1
Hybrid Fibre Coaxial (HFC),26/04/2019,2PYM-A0075,In Service,New South Wales,151.132556,-33.741893,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0083,In Service,New South Wales,151.113691,-33.747128,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0085,In Service,New South Wales,151.117443,-33.743757,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0205,In Service,New South Wales,151.123787,-33.732083,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0277,In Service,New South Wales,151.126429,-33.733296,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2PYM-A0321,In Service,New South Wales,151.12667,-33.733459,1
Hybrid Fibre Coaxial (HFC),11/01/2019,2PYM-A0329,In Service,New South Wales,151.116014,-33.737654,1
Hybrid Fibre Coaxial (HFC),15/07/2019,2PYM-A0330,In Service,New South Wales,151.123574,-33.739409,1
Hybrid Fibre Coaxial (HFC),12/06/2019,2PYM-A0331,In Service,New South Wales,151.118612,-33.741892,1
Hybrid Fibre Coaxial (HFC),25/03/2020,2PYM-A0359,In Service,New South Wales,151.121739,-33.736613,1
Hybrid Fibre Coaxial (HFC),25/03/2020,2PYM-A0364,In Service,New South Wales,151.121901,-33.736744,1
Hybrid Fibre Coaxial (HFC),//,2PYM-A0371,Proposed,New South Wales,151.120011,-33.734036,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2WRO-A0002,In Service,New South Wales,151.103759,-33.723162,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2WRO-A0003,In Service,New South Wales,151.100548,-33.716372,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2WRO-A0005,In Service,New South Wales,151.100136,-33.73816,1
Hybrid Fibre Coaxial (HFC),28/06/2019,2WRO-A0007,In Service,New South Wales,151.125952,-33.704498,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2WRO-A0020,In Service,New South Wales,151.107248,-33.729666,1
Hybrid Fibre Coaxial (HFC),28/06/2019,2WRO-A0021,In Service,New South Wales,151.132179,-33.720781,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2WRO-A0022,In Service,New South Wales,151.095228,-33.722798,1
Hybrid Fibre Coaxial (HFC),28/06/2019,2WRO-A0035,In Service,New South Wales,151.123608,-33.718621,1
Hybrid Fibre Coaxial (HFC),20/09/2019,2WRO-A0036,In Service,New South Wales,151.107068,-33.715674,1
Hybrid Fibre Coaxial (HFC),20/09/2019,2WRO-A0039,In Service,New South Wales,151.116128,-33.727879,1
Hybrid Fibre Coaxial (HFC),20/09/2019,2WRO-A0155,In Service,New South Wales,151.11313,-33.717545,1
Hybrid Fibre Coaxial (HFC),//,2WRO-A0159,Proposed,New South Wales,151.101997,-33.712925,1
Hybrid Fibre Coaxial (HFC),13/09/2019,2WRO-A0388,In Service,New South Wales,151.109942,-33.707252,1
Hybrid Fibre Coaxial (HFC),13/09/2019,2WRO-A0392,In Service,New South Wales,151.115556,-33.706188,1
Hybrid Fibre Coaxial (HFC),13/09/2019,2WRO-A0399,In Service,New South Wales,151.116096,-33.712177,1
Hybrid Fibre Coaxial (HFC),20/09/2019,2WRO-A0406,In Service,New South Wales,151.10652,-33.714002,1
Hybrid Fibre Coaxial (HFC),20/09/2019,2WRO-A0407,In Service,New South Wales,151.107893,-33.713864,1
Hybrid Fibre Coaxial (HFC),6/12/2019,2WRO-A0411,In Service,New South Wales,151.114475,-33.728281,1
Hybrid Fibre Coaxial (HFC),18/11/2019,2WRO-A0412,In Service,New South Wales,151.119094,-33.725672,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2WRO-A0413,In Service,New South Wales,151.103443,-33.718049,1
Hybrid Fibre Coaxial (HFC),19/07/2019,2WRO-A0414,In Service,New South Wales,151.092906,-33.712892,1
Hybrid Fibre Coaxial (HFC),20/06/2019,2WRO-A0415,In Service,New South Wales,151.0975,-33.717976,1
Hybrid Fibre Coaxial (HFC),4/07/2019,2WRO-A0416,In Service,New South Wales,151.104156,-33.719951,1
Hybrid Fibre Coaxial (HFC),16/10/2019,2WRO-A0417,In Service,New South Wales,151.114407,-33.722874,1
Hybrid Fibre Coaxial (HFC),23/11/2019,2WRO-A0418,In Service,New South Wales,151.11426,-33.705946,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2WRO-A0419,In Service,New South Wales,151.135516,-33.719563,1
Hybrid Fibre Coaxial (HFC),28/12/2018,2WRO-A0422,Under Construction,New South Wales,151.107718,-33.713399,1
Hybrid Fibre Coaxial (HFC),17/12/2019,2WRO-A0430,In Service,New South Wales,151.09511,-33.726013,1
Hybrid Fibre Coaxial (HFC),21/02/2020,2WRO-A0431,In Service,New South Wales,151.099863,-33.736108,1
Hybrid Fibre Coaxial (HFC),28/01/2020,2WRO-A0432,In Service,New South Wales,151.104807,-33.7191,1
Hybrid Fibre Coaxial (HFC),21/02/2020,2WRO-A0433,In Service,New South Wales,151.102871,-33.737588,1
Hybrid Fibre Coaxial (HFC),2/03/2020,2WRO-A0434,In Service,New South Wales,151.128909,-33.708808,1
Hybrid Fibre Coaxial (HFC),30/03/2020,2WRO-A0435,In Service,New South Wales,151.108792,-33.734055,1
Hybrid Fibre Coaxial (HFC),27/02/2020,2WRO-A0436,In Service,New South Wales,151.114441,-33.703728,1
Hybrid Fibre Coaxial (HFC),27/02/2020,2WRO-A0437,In Service,New South Wales,151.114328,-33.703475,1
Hybrid Fibre Coaxial (HFC),27/02/2020,2WRO-A0438,In Service,New South Wales,151.114516,-33.703493,1
Hybrid Fibre Coaxial (HFC),21/02/2020,2WRO-A0439,In Service,New South Wales,151.105146,-33.719158,1
Hybrid Fibre Coaxial (HFC),30/03/2020,2WRO-A0440,In Service,New South Wales,151.111429,-33.706265,1
Hybrid Fibre Coaxial (HFC),13/03/2020,2WRO-A0441,In Service,New South Wales,151.091402,-33.727387,1
Hybrid Fibre Coaxial (HFC),13/03/2020,2WRO-A0442,In Service,New South Wales,151.094407,-33.713108,1
Hybrid Fibre Coaxial (HFC),//,2WRO-A0444,Proposed,New South Wales,151.097789,-33.721305,1
Hybrid Fibre Coaxial (HFC),//,2WRO-A0448,Proposed,New South Wales,151.099431,-33.728548,1
Hybrid Fibre Coaxial (HFC),13/06/2019,2CAM-A0845,In Service,New South Wales,151.090387,-33.915247,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2CAM-A0151,In Service,New South Wales,151.090696,-33.911705,1
Hybrid Fibre Coaxial (HFC),11/10/2019,2BUR-A1130,In Service,New South Wales,151.108019,-33.856533,1
Hybrid Fibre Coaxial (HFC),30/11/2018,2ASH-A0002,In Service,New South Wales,151.123125,-33.875607,1
Hybrid Fibre Coaxial (HFC),27/07/2018,2ASH-A0007,In Service,New South Wales,151.141555,-33.887364,1
Hybrid Fibre Coaxial (HFC),30/11/2018,2ASH-A0017,In Service,New South Wales,151.126312,-33.878122,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2ASH-A0018,In Service,New South Wales,151.119445,-33.883034,1
Hybrid Fibre Coaxial (HFC),27/07/2018,2ASH-A0019,In Service,New South Wales,151.138834,-33.882995,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ASH-A0020,In Service,New South Wales,151.131464,-33.878592,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ASH-A0021,In Service,New South Wales,151.129786,-33.884504,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ASH-A0022,In Service,New South Wales,151.135062,-33.884778,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2ASH-A0023,In Service,New South Wales,151.119065,-33.887682,1
Hybrid Fibre Coaxial (HFC),10/05/2019,2ASH-A0024,In Service,New South Wales,151.135581,-33.893577,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2ASH-A0027,In Service,New South Wales,151.120568,-33.894469,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2ASH-A0030,In Service,New South Wales,151.111242,-33.892846,1
Hybrid Fibre Coaxial (HFC),10/05/2019,2ASH-A0032,In Service,New South Wales,151.140778,-33.893291,1
Hybrid Fibre Coaxial (HFC),7/09/2018,2ASH-A0036,In Service,New South Wales,151.11674,-33.89599,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2ASH-A0038,In Service,New South Wales,151.124919,-33.902435,1
Hybrid Fibre Coaxial (HFC),7/09/2018,2ASH-A0040,In Service,New South Wales,151.113067,-33.900211,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2ASH-A0042,In Service,New South Wales,151.119199,-33.902487,1
Hybrid Fibre Coaxial (HFC),10/05/2019,2ASH-A0045,In Service,New South Wales,151.133384,-33.896959,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2ASH-A0048,In Service,New South Wales,151.120455,-33.91031,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2ASH-A0052,In Service,New South Wales,151.117049,-33.8892,1
Hybrid Fibre Coaxial (HFC),30/11/2018,2ASH-A0054,In Service,New South Wales,151.12454,-33.883312,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ASH-A0055,In Service,New South Wales,151.137176,-33.875896,1
Hybrid Fibre Coaxial (HFC),10/05/2019,2ASH-A0062,In Service,New South Wales,151.130516,-33.896985,1
Hybrid Fibre Coaxial (HFC),2/11/2018,2ASH-A0248,In Service,New South Wales,151.106468,-33.898269,1
Hybrid Fibre Coaxial (HFC),5/05/2017,2ASH-A0672,Under Construction,New South Wales,151.133787,-33.880801,1
Hybrid Fibre Coaxial (HFC),5/04/2019,2ASH-A0886,In Service,New South Wales,151.128619,-33.888456,1
Hybrid Fibre Coaxial (HFC),5/04/2019,2ASH-A1072,In Service,New South Wales,151.133573,-33.888442,1
Hybrid Fibre Coaxial (HFC),5/04/2019,2ASH-A1076,In Service,New South Wales,151.12672,-33.893724,1
Hybrid Fibre Coaxial (HFC),28/04/2017,2ASH-A1088,Under Construction,New South Wales,151.107284,-33.90099,1
Hybrid Fibre Coaxial (HFC),28/04/2017,2ASH-A1090,Under Construction,New South Wales,151.121738,-33.904973,1
Hybrid Fibre Coaxial (HFC),28/04/2017,2ASH-A1092,Under Construction,New South Wales,151.119839,-33.904736,1
Hybrid Fibre Coaxial (HFC),//,2ASH-A1096,Proposed,New South Wales,151.13896,-33.871808,1
