Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,State,longitude,latitude,discharge_amnt_total
Hybrid Fibre Coaxial (HFC),29/11/2018,2ESP-A0238,In Service,New South Wales,150.776233,-33.799491,1
Hybrid Fibre Coaxial (HFC),24/06/2019,2ESP-A0239,In Service,New South Wales,150.769179,-33.800888,1
Hybrid Fibre Coaxial (HFC),26/07/2019,2ESP-A0240,In Service,New South Wales,150.790306,-33.803178,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ESP-A0242,In Service,New South Wales,150.791501,-33.793398,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ESP-A0243,In Service,New South Wales,150.779002,-33.808562,1
Hybrid Fibre Coaxial (HFC),13/11/2019,2ESP-A0246,In Service,New South Wales,150.790546,-33.781041,1
Hybrid Fibre Coaxial (HFC),25/11/2019,2ESP-A0249,In Service,New South Wales,150.775115,-33.793396,1
Hybrid Fibre Coaxial (HFC),30/11/2019,2ESP-A0250,In Service,New South Wales,150.799273,-33.800069,1
Hybrid Fibre Coaxial (HFC),21/01/2020,2ESP-A0256,In Service,New South Wales,150.796227,-33.787756,1
Hybrid Fibre Coaxial (HFC),6/12/2019,2ESP-A0257,In Service,New South Wales,150.792795,-33.799244,1
Hybrid Fibre Coaxial (HFC),24/12/2019,2ESP-A0258,In Service,New South Wales,150.786034,-33.809091,1
Hybrid Fibre Coaxial (HFC),17/01/2020,2ESP-A0261,In Service,New South Wales,150.795392,-33.804191,1
Hybrid Fibre Coaxial (HFC),31/01/2020,2ESP-A0262,In Service,New South Wales,150.798394,-33.792097,1
Hybrid Fibre Coaxial (HFC),25/02/2020,2ESP-A0267,In Service,New South Wales,150.784424,-33.804254,1
Hybrid Fibre Coaxial (HFC),30/03/2020,2ESP-A0271,In Service,New South Wales,150.777277,-33.794655,1
Hybrid Fibre Coaxial (HFC),28/04/2020,2ESP-A0282,In Service,New South Wales,150.788246,-33.778661,1
Hybrid Fibre Coaxial (HFC),20/05/2020,2ESP-A0287,In Service,New South Wales,150.796628,-33.800754,1
Hybrid Fibre Coaxial (HFC),22/05/2020,2ESP-A0288,In Service,New South Wales,150.80868,-33.798366,1
Hybrid Fibre Coaxial (HFC),2/03/2020,2ESP-A0290,In Service,New South Wales,150.780972,-33.801933,1
Hybrid Fibre Coaxial (HFC),//,2ESP-A0292,Proposed,New South Wales,150.794294,-33.793038,1
Hybrid Fibre Coaxial (HFC),//,2ESP-A0296,Proposed,New South Wales,150.785654,-33.804882,1
Hybrid Fibre Coaxial (HFC),//,2ESP-A0298,Proposed,New South Wales,150.777533,-33.8035,1
Hybrid Fibre Coaxial (HFC),//,2ESP-A0299,Proposed,New South Wales,150.797872,-33.78306,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2ROT-A0059,In Service,New South Wales,150.809776,-33.748433,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2ROT-A0061,In Service,New South Wales,150.804976,-33.755371,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2ROT-A0063,In Service,New South Wales,150.814936,-33.757034,1
Hybrid Fibre Coaxial (HFC),2/08/2019,2ROT-A0115,In Service,New South Wales,150.815993,-33.761658,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2ROT-A0125,In Service,New South Wales,150.818393,-33.774454,1
Hybrid Fibre Coaxial (HFC),27/02/2020,2ROT-A0355,In Service,New South Wales,150.804827,-33.757584,1
Hybrid Fibre Coaxial (HFC),13/05/2020,2ROT-A0370,In Service,New South Wales,150.802055,-33.756679,1
Hybrid Fibre Coaxial (HFC),12/06/2020,2ROT-A0372,In Service,New South Wales,150.814005,-33.75041,1
Hybrid Fibre Coaxial (HFC),//,2ROT-A0374,Proposed,New South Wales,150.805496,-33.749306,1
Hybrid Fibre Coaxial (HFC),//,2ROT-A0380,Proposed,New South Wales,150.814822,-33.746663,1
Hybrid Fibre Coaxial (HFC),//,2ROT-A0381,Proposed,New South Wales,150.81915,-33.750219,1
Hybrid Fibre Coaxial (HFC),//,2ROT-A0384,Proposed,New South Wales,150.816287,-33.748278,1
Hybrid Fibre Coaxial (HFC),//,2ROT-A0387,Proposed,New South Wales,150.815667,-33.766397,1
Hybrid Fibre Coaxial (HFC),//,2SHA-A0005,Proposed,New South Wales,150.783985,-33.74663,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2SHA-A0011,In Service,New South Wales,150.753817,-33.75369,1
Hybrid Fibre Coaxial (HFC),26/06/2020,2SHA-A0019,Proposed,New South Wales,150.787644,-33.738632,1
Hybrid Fibre Coaxial (HFC),7/06/2019,2SHA-A0030,In Service,New South Wales,150.776509,-33.749148,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2SHA-A0038,In Service,New South Wales,150.793189,-33.725937,1
Hybrid Fibre Coaxial (HFC),14/12/2018,2SHA-A0042,In Service,New South Wales,150.826268,-33.730037,1
Hybrid Fibre Coaxial (HFC),27/07/2018,2SHA-A0046,In Service,New South Wales,150.812599,-33.738491,1
Hybrid Fibre Coaxial (HFC),27/07/2018,2SHA-A0052,In Service,New South Wales,150.805717,-33.744209,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2SHA-A0056,In Service,New South Wales,150.749515,-33.74465,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2SHA-A0057,In Service,New South Wales,150.746858,-33.750888,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2SHA-A0064,In Service,New South Wales,150.790228,-33.742057,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2SHA-A0072,In Service,New South Wales,150.808967,-33.727031,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2SHA-A0085,In Service,New South Wales,150.805254,-33.735124,1
Hybrid Fibre Coaxial (HFC),27/07/2018,2SHA-A0181,In Service,New South Wales,150.824528,-33.739164,1
