Ready_for_Service_Date,Area_ID,Service_Status,Technology_Type,longitude,latitude
21/12/2012,3BRA-51-30-LEAR-10-08,In Service,Fixed Wireless,143.712569,-37.438547
21/12/2012,3BRA-51-30-LEAR-10-09,In Service,Fixed Wireless,143.687731,-37.434805
28/09/2012,3BRA-51-31-MTEG-00-01,In Service,Fixed Wireless,144.109616,-37.609865
28/09/2012,3BRA-51-31-MTEG-01-03,In Service,Fixed Wireless,144.137692,-37.630189
28/09/2012,3BRA-51-31-MTEG-01-06,In Service,Fixed Wireless,144.081763,-37.664516
28/09/2012,3BRA-51-31-MTEG-10-02,In Service,Fixed Wireless,144.115058,-37.632955
28/09/2012,3BRA-51-31-MTEG-10-03,In Service,Fixed Wireless,144.094441,-37.667742
28/09/2012,3BRA-51-31-MTEG-11-01,In Service,Fixed Wireless,144.088839,-37.60549
28/09/2012,3BRA-51-31-MTEG-11-02,In Service,Fixed Wireless,144.174574,-37.566771
28/09/2012,3BRA-51-31-MTEG-11-05,In Service,Fixed Wireless,144.143302,-37.655446
24/07/2012,3BRA-51-33-ROSC-00-01,In Service,Fixed Wireless,143.758078,-37.626016
24/07/2012,3BRA-51-33-ROSC-00-02,In Service,Fixed Wireless,143.794706,-37.646656
24/07/2012,3BRA-51-33-ROSC-00-03,In Service,Fixed Wireless,143.738633,-37.656873
24/07/2012,3BRA-51-33-ROSC-10-04,In Service,Fixed Wireless,143.765939,-37.626497
24/07/2012,3BRA-51-33-ROSC-10-05,In Service,Fixed Wireless,143.787205,-37.664052
24/07/2012,3BRA-51-33-ROSC-10-06,In Service,Fixed Wireless,143.735287,-37.639362
24/07/2012,3BRA-51-33-ROSC-11-01,In Service,Fixed Wireless,143.762935,-37.634566
24/07/2012,3BRA-51-33-ROSC-11-02,In Service,Fixed Wireless,143.758369,-37.645923
24/07/2012,3BRA-51-33-ROSC-11-03,In Service,Fixed Wireless,143.753775,-37.637458
24/07/2012,3BRA-51-33-ROSC-11-04,In Service,Fixed Wireless,143.755647,-37.638188
24/07/2012,3BRA-51-33-ROSC-11-05,In Service,Fixed Wireless,143.761901,-37.638382
15/11/2013,3BRA-51-34-SMEA-00-01,In Service,Fixed Wireless,143.957752,-37.301094
15/11/2013,3BRA-51-34-SMEA-00-02,In Service,Fixed Wireless,144.017404,-37.311519
15/11/2013,3BRA-51-34-SMEA-00-03,In Service,Fixed Wireless,143.960978,-37.350725
15/11/2013,3BRA-51-34-SMEA-10-04,In Service,Fixed Wireless,143.9751,-37.290425
15/11/2013,3BRA-51-34-SMEA-10-05,In Service,Fixed Wireless,144.01162,-37.338945
15/11/2013,3BRA-51-34-SMEA-10-06,In Service,Fixed Wireless,143.935839,-37.350695
21/12/2012,3BRA-51-36-WALA-00-03,In Service,Fixed Wireless,144.026252,-37.555557
21/12/2012,3BRA-51-36-WALA-01-01,In Service,Fixed Wireless,144.079429,-37.515102
21/12/2012,3BRA-51-36-WALA-01-04,In Service,Fixed Wireless,144.05466,-37.548493
21/12/2012,3BRA-51-36-WALA-10-01,In Service,Fixed Wireless,144.056529,-37.507014
21/12/2012,3BRA-51-36-WALA-10-02,In Service,Fixed Wireless,144.051175,-37.579219
21/12/2012,3BRA-51-36-WALA-10-04,In Service,Fixed Wireless,144.011188,-37.513641
21/12/2012,3BRA-51-36-WALA-11-03,In Service,Fixed Wireless,144.062371,-37.547959
29/06/2013,3BRF-51-01-BROA-00-01,In Service,Fixed Wireless,144.976504,-37.145891
29/06/2013,3BRF-51-01-BROA-00-02,In Service,Fixed Wireless,145.081906,-37.217461
29/06/2013,3BRF-51-01-BROA-00-03,In Service,Fixed Wireless,145.017753,-37.222128
29/06/2013,3BRF-51-01-BROA-00-04,In Service,Fixed Wireless,144.976702,-37.20028
29/06/2013,3BRF-51-01-BROA-00-05,In Service,Fixed Wireless,145.078564,-37.180902
29/06/2013,3BRF-51-01-BROA-00-07,In Service,Fixed Wireless,145.061431,-37.145036
29/06/2013,3BRF-51-01-BROA-01-01,In Service,Fixed Wireless,145.036923,-37.185456
29/06/2013,3BRF-51-01-BROA-01-02,In Service,Fixed Wireless,145.009241,-37.167635
29/06/2013,3BRF-51-01-BROA-01-03,In Service,Fixed Wireless,145.044541,-37.163524
29/06/2013,3BRF-51-01-BROA-01-04,In Service,Fixed Wireless,145.117019,-37.169186
29/06/2013,3BRF-51-01-BROA-01-05,In Service,Fixed Wireless,145.01282,-37.245884
29/06/2013,3BRF-51-01-BROA-01-06,In Service,Fixed Wireless,145.006335,-37.204331
29/06/2013,3BRF-51-01-BROA-10-06,In Service,Fixed Wireless,144.993259,-37.149615
29/06/2013,3BRF-51-01-BROA-10-08,In Service,Fixed Wireless,145.054554,-37.179497
29/06/2013,3BRF-51-01-BROA-10-09,In Service,Fixed Wireless,145.024097,-37.223762
29/06/2013,3BRF-51-01-BROA-11-07,In Service,Fixed Wireless,144.964618,-37.099267
29/06/2013,3BRF-51-01-BROA-11-08,In Service,Fixed Wireless,145.058418,-37.226238
29/06/2013,3BRF-51-02-PYAL-00-01,In Service,Fixed Wireless,144.841502,-37.115962
29/06/2013,3BRF-51-02-PYAL-00-02,In Service,Fixed Wireless,144.89868,-37.147823
29/06/2013,3BRF-51-02-PYAL-00-03,In Service,Fixed Wireless,144.831251,-37.166771
29/06/2013,3BRF-51-02-PYAL-00-04,In Service,Fixed Wireless,144.865122,-37.119602
29/06/2013,3BRF-51-02-PYAL-01-01,In Service,Fixed Wireless,144.882057,-37.114743
29/06/2013,3BRF-51-02-PYAL-01-05,In Service,Fixed Wireless,144.914337,-37.168485
29/06/2013,3BRF-51-02-PYAL-10-05,In Service,Fixed Wireless,144.832658,-37.110371
29/06/2013,3BRF-51-02-PYAL-10-06,In Service,Fixed Wireless,144.86338,-37.107793
29/06/2013,3BRF-51-03-TOOB-00-01,In Service,Fixed Wireless,144.810349,-37.005744
29/06/2013,3BRF-51-03-TOOB-00-02,In Service,Fixed Wireless,144.846431,-37.091098
29/06/2013,3BRF-51-03-TOOB-00-03,In Service,Fixed Wireless,144.789075,-37.061191
29/06/2013,3BRF-51-03-TOOB-00-04,In Service,Fixed Wireless,144.85383,-37.02772
29/06/2013,3BRF-51-03-TOOB-10-05,In Service,Fixed Wireless,144.854741,-37.013582
29/06/2013,3BRF-51-03-TOOB-10-06,In Service,Fixed Wireless,144.879882,-37.06131
29/06/2013,3BRF-51-03-TOOB-10-07,In Service,Fixed Wireless,144.829444,-37.075483
29/06/2013,3BRF-51-03-TOOB-10-08,In Service,Fixed Wireless,144.791469,-37.071245
29/06/2013,3BRF-51-03-TOOB-10-09,In Service,Fixed Wireless,144.775255,-37.060981
15/05/2014,3BRF-51-04-WATE-00-01,In Service,Fixed Wireless,145.101612,-37.30153
15/05/2014,3BRF-51-04-WATE-01-01,In Service,Fixed Wireless,145.077154,-37.338917
15/05/2014,3BRF-51-04-WATE-01-03,In Service,Fixed Wireless,145.057383,-37.312378
15/05/2014,3BRF-51-04-WATE-10-03,In Service,Fixed Wireless,145.07892,-37.293845
15/05/2014,3BRF-51-04-WATE-11-04,In Service,Fixed Wireless,145.045738,-37.300472
31/07/2013,3BRF-51-05-WILL-00-01,In Service,Fixed Wireless,144.925677,-37.227334
31/07/2013,3BRF-51-05-WILL-00-03,In Service,Fixed Wireless,144.854039,-37.259272
31/07/2013,3BRF-51-05-WILL-00-04,In Service,Fixed Wireless,144.918326,-37.28039
31/07/2013,3BRF-51-05-WILL-01-01,In Service,Fixed Wireless,144.915511,-37.300682
31/07/2013,3BRF-51-05-WILL-01-02,In Service,Fixed Wireless,144.87509,-37.294573
31/07/2013,3BRF-51-05-WILL-01-03,In Service,Fixed Wireless,144.898918,-37.227019
31/07/2013,3BRF-51-05-WILL-01-05,In Service,Fixed Wireless,144.88674,-37.270502
31/07/2013,3BRF-51-05-WILL-01-06,In Service,Fixed Wireless,144.830358,-37.252336
31/07/2013,3BRF-51-05-WILL-10-05,In Service,Fixed Wireless,144.94763,-37.247396
31/07/2013,3BRF-51-05-WILL-11-04,In Service,Fixed Wireless,144.884513,-37.258531
13/09/2013,3BRF-51-06-HEAT-00-01,In Service,Fixed Wireless,144.591042,-36.88583
13/09/2013,3BRF-51-06-HEAT-00-02,In Service,Fixed Wireless,144.757847,-37.052373
13/09/2013,3BRF-51-06-HEAT-00-03,In Service,Fixed Wireless,144.656605,-36.980663
13/09/2013,3BRF-51-06-HEAT-00-05,In Service,Fixed Wireless,144.707638,-36.944588
13/09/2013,3BRF-51-06-HEAT-10-04,In Service,Fixed Wireless,144.703479,-36.887198
13/09/2013,3BRF-51-06-HEAT-10-06,In Service,Fixed Wireless,144.672775,-36.998019
13/09/2013,3BRF-51-06-HEAT-10-07,In Service,Fixed Wireless,144.643509,-36.934665
28/02/2014,3BRF-51-07-COST-00-01,In Service,Fixed Wireless,144.806185,-36.896371
28/02/2014,3BRF-51-07-COST-00-02,In Service,Fixed Wireless,144.804324,-36.944184
28/02/2014,3BRF-51-07-COST-00-03,In Service,Fixed Wireless,144.766275,-36.937789
28/02/2014,3BRF-51-07-COST-00-07,In Service,Fixed Wireless,144.758172,-36.912195
28/02/2014,3BRF-51-07-COST-01-01,In Service,Fixed Wireless,144.739767,-36.932328
28/02/2014,3BRF-51-07-COST-10-04,In Service,Fixed Wireless,144.852697,-36.881017
28/02/2014,3BRF-51-07-COST-10-05,In Service,Fixed Wireless,144.788591,-36.952393
28/02/2014,3BRF-51-07-COST-10-06,In Service,Fixed Wireless,144.769509,-36.944227
27/03/2014,3BRF-51-08-REDS-00-01,In Service,Fixed Wireless,144.518926,-36.976775
27/03/2014,3BRF-51-08-REDS-00-02,In Service,Fixed Wireless,144.564876,-37.030225
27/03/2014,3BRF-51-08-REDS-00-03,In Service,Fixed Wireless,144.531971,-37.055091
27/03/2014,3BRF-51-08-REDS-01-01,In Service,Fixed Wireless,144.526991,-37.002668
27/03/2014,3BRF-51-08-REDS-10-04,In Service,Fixed Wireless,144.579982,-37.029461
27/03/2014,3BRF-51-08-REDS-10-05,In Service,Fixed Wireless,144.509538,-37.046767
2/02/2018,3BRF-51-10-SUND-00-01,In Service,Fixed Wireless,145.063751,-37.238035
2/02/2018,3BRF-51-10-SUND-00-02,In Service,Fixed Wireless,145.062067,-37.264931
2/02/2018,3BRF-51-10-SUND-00-03,In Service,Fixed Wireless,145.039748,-37.262845
2/02/2018,3BRF-51-10-SUND-10-04,In Service,Fixed Wireless,145.035274,-37.261336
29/10/2018,3BWK-51-01-BEAO-01-01,In Service,Fixed Wireless,145.435441,-38.039468
29/10/2018,3BWK-51-01-BEAO-01-04,In Service,Fixed Wireless,145.473727,-38.040972
29/10/2018,3BWK-51-01-BEAO-01-06,In Service,Fixed Wireless,145.4435,-38.093123
29/10/2018,3BWK-51-01-BEAO-11-02,In Service,Fixed Wireless,145.439754,-38.045656
29/10/2018,3BWK-51-01-BEAO-11-03,In Service,Fixed Wireless,145.457934,-38.038651
29/10/2018,3BWK-51-01-BEAO-11-05,In Service,Fixed Wireless,145.456924,-38.044492
29/10/2018,3BWK-51-01-BEAO-11-07,In Service,Fixed Wireless,145.455512,-38.054429
29/10/2018,3BWK-51-01-BEAO-11-08,In Service,Fixed Wireless,145.441988,-38.050768
26/10/2018,3BWK-51-03-OFFI-01-02,In Service,Fixed Wireless,145.404488,-38.019367
26/10/2018,3BWK-51-03-OFFI-01-04,In Service,Fixed Wireless,145.417371,-38.046459
26/10/2018,3BWK-51-03-OFFI-01-07,In Service,Fixed Wireless,145.394468,-38.035954
26/10/2018,3BWK-51-03-OFFI-11-01,In Service,Fixed Wireless,145.368135,-38.017784
26/10/2018,3BWK-51-03-OFFI-11-03,In Service,Fixed Wireless,145.375336,-38.012018
26/10/2018,3BWK-51-03-OFFI-11-05,In Service,Fixed Wireless,145.410763,-38.029059
26/10/2018,3BWK-51-03-OFFI-11-06,In Service,Fixed Wireless,145.40643,-38.043102
26/10/2018,3BWK-51-03-OFFI-11-08,In Service,Fixed Wireless,145.396986,-38.037168
30/06/2020,3BWK-51-05-NARE-01-02,In Service,Fixed Wireless,145.38045,-37.946492
30/06/2020,3BWK-51-05-NARE-01-05,In Service,Fixed Wireless,145.380634,-37.977363
30/06/2020,3BWK-51-05-NARE-01-08,In Service,Fixed Wireless,145.334523,-37.964047
30/06/2020,3BWK-51-05-NARE-11-01,In Service,Fixed Wireless,145.346899,-37.954411
30/06/2020,3BWK-51-05-NARE-11-03,In Service,Fixed Wireless,145.353688,-37.945755
30/06/2020,3BWK-51-05-NARE-11-04,In Service,Fixed Wireless,145.374697,-37.959494
30/06/2020,3BWK-51-05-NARE-11-06,In Service,Fixed Wireless,145.37373,-37.967211
30/06/2020,3BWK-51-05-NARE-11-07,In Service,Fixed Wireless,145.349528,-37.973953
30/06/2020,3BWK-51-05-NARE-11-09,In Service,Fixed Wireless,145.342351,-37.967691
31/08/2018,3BWT-51-02-BEEO-00-01,In Service,Fixed Wireless,146.70354,-36.35892
31/08/2018,3BWT-51-02-BEEO-00-03,In Service,Fixed Wireless,146.708408,-36.385293
31/08/2018,3BWT-51-02-BEEO-00-06,In Service,Fixed Wireless,146.694571,-36.378958
31/08/2018,3BWT-51-02-BEEO-10-02,In Service,Fixed Wireless,146.706538,-36.369735
31/08/2018,3BWT-51-02-BEEO-10-04,In Service,Fixed Wireless,146.723515,-36.378368
31/08/2018,3BWT-51-02-BEEO-10-05,In Service,Fixed Wireless,146.697514,-36.396993
31/08/2018,3BWT-51-02-BEEO-10-07,In Service,Fixed Wireless,146.681579,-36.378687
18/11/2013,3CAS-51-03-FARA-00-01,In Service,Fixed Wireless,144.338198,-37.051609
18/11/2013,3CAS-51-03-FARA-00-02,In Service,Fixed Wireless,144.314587,-37.08929
18/11/2013,3CAS-51-03-FARA-00-03,In Service,Fixed Wireless,144.286083,-37.086881
18/11/2013,3CAS-51-03-FARA-00-07,In Service,Fixed Wireless,144.279464,-37.066866
18/11/2013,3CAS-51-03-FARA-10-04,In Service,Fixed Wireless,144.278906,-37.086129
18/11/2013,3CAS-51-03-FARA-10-05,In Service,Fixed Wireless,144.294377,-37.039699
18/11/2013,3CAS-51-03-FARA-10-06,In Service,Fixed Wireless,144.297419,-37.091615
18/11/2013,3CAS-51-03-FARA-10-08,In Service,Fixed Wireless,144.278041,-37.069862
26/03/2014,3CAS-51-04-HARC-00-01,In Service,Fixed Wireless,144.263206,-36.967247
26/03/2014,3CAS-51-04-HARC-00-02,In Service,Fixed Wireless,144.281904,-36.998634
26/03/2014,3CAS-51-04-HARC-00-03,In Service,Fixed Wireless,144.252641,-36.973606
26/03/2014,3CAS-51-04-HARC-00-07,In Service,Fixed Wireless,144.256738,-36.990954
26/03/2014,3CAS-51-04-HARC-10-04,In Service,Fixed Wireless,144.268466,-36.954417
26/03/2014,3CAS-51-04-HARC-10-05,In Service,Fixed Wireless,144.278304,-36.999496
26/03/2014,3CAS-51-04-HARC-10-06,In Service,Fixed Wireless,144.269662,-36.986664
26/03/2014,3CAS-51-04-HARC-10-08,In Service,Fixed Wireless,144.268899,-36.993411
29/06/2013,3CAS-51-05-HASC-00-01,In Service,Fixed Wireless,144.256814,-37.001886
29/06/2013,3CAS-51-05-HASC-00-02,In Service,Fixed Wireless,144.270853,-37.007484
29/06/2013,3CAS-51-05-HASC-00-03,In Service,Fixed Wireless,144.230529,-37.028866
29/06/2013,3CAS-51-05-HASC-00-06,In Service,Fixed Wireless,144.261175,-37.004009
29/06/2013,3CAS-51-05-HASC-00-08,In Service,Fixed Wireless,144.272193,-37.01951
29/06/2013,3CAS-51-05-HASC-00-09,In Service,Fixed Wireless,144.23737,-37.009232
29/06/2013,3CAS-51-05-HASC-01-01,In Service,Fixed Wireless,144.256562,-37.008176
29/06/2013,3CAS-51-05-HASC-01-03,In Service,Fixed Wireless,144.257553,-36.996496
29/06/2013,3CAS-51-05-HASC-01-05,In Service,Fixed Wireless,144.247825,-37.016547
29/06/2013,3CAS-51-05-HASC-10-04,In Service,Fixed Wireless,144.253373,-36.999152
29/06/2013,3CAS-51-05-HASC-10-05,In Service,Fixed Wireless,144.249724,-37.019179
29/06/2013,3CAS-51-05-HASC-10-07,In Service,Fixed Wireless,144.263997,-37.00408
29/06/2013,3CAS-51-05-HASC-10-10,In Service,Fixed Wireless,144.23411,-37.017655
29/06/2013,3CAS-51-05-HASC-11-02,In Service,Fixed Wireless,144.23932,-36.995603
29/06/2013,3CAS-51-05-HASC-11-04,In Service,Fixed Wireless,144.284307,-36.943675
29/06/2013,3CAS-51-05-HASC-11-06,In Service,Fixed Wireless,144.226153,-37.019208
13/12/2013,3CAS-51-07-MUCK-00-01,In Service,Fixed Wireless,144.132996,-37.048378
13/12/2013,3CAS-51-07-MUCK-00-02,In Service,Fixed Wireless,144.152823,-36.992713
13/12/2013,3CAS-51-07-MUCK-00-03,In Service,Fixed Wireless,144.133322,-37.104076
13/12/2013,3CAS-51-07-MUCK-10-04,In Service,Fixed Wireless,144.168849,-37.086555
13/12/2013,3CAS-51-07-MUCK-10-05,In Service,Fixed Wireless,144.167363,-37.070595
29/11/2013,3CAS-51-11-TRLI-00-01,In Service,Fixed Wireless,144.174189,-37.120603
29/11/2013,3CAS-51-11-TRLI-00-02,In Service,Fixed Wireless,144.206797,-37.162505
29/11/2013,3CAS-51-11-TRLI-00-03,In Service,Fixed Wireless,144.116976,-37.174829
29/11/2013,3CAS-51-11-TRLI-00-04,In Service,Fixed Wireless,144.144801,-37.139005
29/11/2013,3CAS-51-11-TRLI-10-05,In Service,Fixed Wireless,144.137618,-37.143224
27/03/2020,3CAS-51-12-GLEL-01-01,In Service,Fixed Wireless,144.244549,-37.2777
27/03/2020,3CAS-51-12-GLEL-01-02,In Service,Fixed Wireless,144.252824,-37.304916
27/03/2020,3CAS-51-12-GLEL-01-03,In Service,Fixed Wireless,144.246632,-37.297661
27/03/2020,3CAS-51-12-GLEL-01-05,In Service,Fixed Wireless,144.230356,-37.302052
27/03/2020,3CAS-51-12-GLEL-01-06,In Service,Fixed Wireless,144.242843,-37.294033
27/03/2020,3CAS-51-12-GLEL-11-04,In Service,Fixed Wireless,144.238462,-37.30499
27/03/2020,3CAS-51-12-GLEL-11-07,In Service,Fixed Wireless,144.229842,-37.289031
17/12/2015,3CBM-51-01-COBR-00-01,In Service,Fixed Wireless,145.619074,-35.884235
17/12/2015,3CBM-51-01-COBR-00-02,In Service,Fixed Wireless,145.691688,-35.978634
17/12/2015,3CBM-51-01-COBR-00-03,In Service,Fixed Wireless,145.550345,-35.943228
17/12/2015,3CBM-51-01-COBR-00-07,In Service,Fixed Wireless,145.586429,-35.885632
17/12/2015,3CBM-51-01-COBR-00-08,In Service,Fixed Wireless,145.686306,-35.84588
17/12/2015,3CBM-51-01-COBR-00-10,In Service,Fixed Wireless,145.685151,-35.918192
17/12/2015,3CBM-51-01-COBR-01-01,In Service,Fixed Wireless,145.599406,-35.912727
17/12/2015,3CBM-51-01-COBR-01-02,In Service,Fixed Wireless,145.659604,-35.908022
17/12/2015,3CBM-51-01-COBR-01-03,In Service,Fixed Wireless,145.745326,-35.915868
17/12/2015,3CBM-51-01-COBR-01-04,In Service,Fixed Wireless,145.641988,-35.948149
17/12/2015,3CBM-51-01-COBR-01-07,In Service,Fixed Wireless,145.679503,-35.944388
17/12/2015,3CBM-51-01-COBR-10-04,In Service,Fixed Wireless,145.628496,-35.897775
17/12/2015,3CBM-51-01-COBR-10-05,In Service,Fixed Wireless,145.701312,-35.963683
17/12/2015,3CBM-51-01-COBR-10-06,In Service,Fixed Wireless,145.625661,-35.929838
17/12/2015,3CBM-51-01-COBR-10-09,In Service,Fixed Wireless,145.697574,-35.873433
17/12/2015,3CBM-51-01-COBR-10-11,In Service,Fixed Wireless,145.732405,-35.878654
17/12/2015,3CBM-51-01-COBR-11-05,In Service,Fixed Wireless,145.635942,-35.930957
17/12/2015,3CBM-51-01-COBR-11-06,In Service,Fixed Wireless,145.648262,-35.9072
17/12/2015,3CBM-51-02-CBSR-00-01,In Service,Fixed Wireless,145.579409,-35.923487
17/12/2015,3CBM-51-02-CBSR-00-02,In Service,Fixed Wireless,145.634409,-35.971871
17/12/2015,3CBM-51-02-CBSR-00-03,In Service,Fixed Wireless,145.585805,-35.979969
17/12/2015,3CBM-51-02-CBSR-00-07,In Service,Fixed Wireless,145.585998,-35.949753
17/12/2015,3CBM-51-02-CBSR-10-04,In Service,Fixed Wireless,145.602599,-35.934399
17/12/2015,3CBM-51-02-CBSR-10-05,In Service,Fixed Wireless,145.631893,-35.98131
17/12/2015,3CBM-51-02-CBSR-10-06,In Service,Fixed Wireless,145.595103,-35.991882
17/12/2015,3CBM-51-02-CBSR-10-08,In Service,Fixed Wireless,145.576211,-35.970154
17/12/2015,3CBM-51-03-STRM-00-01,In Service,Fixed Wireless,145.460447,-35.877903
17/12/2015,3CBM-51-03-STRM-00-02,In Service,Fixed Wireless,145.550268,-35.964864
17/12/2015,3CBM-51-03-STRM-00-03,In Service,Fixed Wireless,145.414644,-35.953018
17/12/2015,3CBM-51-03-STRM-00-05,In Service,Fixed Wireless,145.496945,-35.870667
17/12/2015,3CBM-51-03-STRM-00-08,In Service,Fixed Wireless,145.501516,-35.9476
17/12/2015,3CBM-51-03-STRM-00-11,In Service,Fixed Wireless,145.414944,-35.895083
17/12/2015,3CBM-51-03-STRM-01-01,In Service,Fixed Wireless,145.525209,-35.920059
17/12/2015,3CBM-51-03-STRM-01-02,In Service,Fixed Wireless,145.414885,-35.954032
17/12/2015,3CBM-51-03-STRM-01-03,In Service,Fixed Wireless,145.462606,-35.909462
17/12/2015,3CBM-51-03-STRM-01-04,In Service,Fixed Wireless,145.504701,-35.893772
17/12/2015,3CBM-51-03-STRM-01-05,In Service,Fixed Wireless,145.521362,-35.954981
17/12/2015,3CBM-51-03-STRM-01-06,In Service,Fixed Wireless,145.465516,-35.957469
17/12/2015,3CBM-51-03-STRM-10-04,In Service,Fixed Wireless,145.476387,-35.92768
17/12/2015,3CBM-51-03-STRM-10-06,In Service,Fixed Wireless,145.478048,-35.927704
17/12/2015,3CBM-51-03-STRM-10-07,In Service,Fixed Wireless,145.525863,-35.904827
17/12/2015,3CBM-51-03-STRM-10-09,In Service,Fixed Wireless,145.496767,-35.9489
17/12/2015,3CBM-51-03-STRM-10-10,In Service,Fixed Wireless,145.412457,-35.966548
17/12/2015,3CBM-51-03-STRM-10-12,In Service,Fixed Wireless,145.424533,-35.888009
24/01/2018,3CBN-51-01-CRSO-01-01,In Service,Fixed Wireless,145.276544,-38.152093
24/01/2018,3CBN-51-01-CRSO-01-02,In Service,Fixed Wireless,145.264003,-38.167057
24/01/2018,3CBN-51-01-CRSO-01-03,In Service,Fixed Wireless,145.242266,-38.166021
24/01/2018,3CBN-51-01-CRSO-01-04,In Service,Fixed Wireless,145.264584,-38.166169
24/01/2018,3CBN-51-01-CRSO-01-05,In Service,Fixed Wireless,145.251731,-38.158638
24/01/2018,3CBN-51-01-CRSO-01-06,In Service,Fixed Wireless,145.272404,-38.165878
24/01/2018,3CBN-51-01-CRSO-01-07,In Service,Fixed Wireless,145.254789,-38.166955
24/01/2018,3CBN-51-02-CARI-01-01,In Service,Fixed Wireless,145.418776,-38.106944
24/01/2018,3CBN-51-02-CARI-01-02,In Service,Fixed Wireless,145.466055,-38.127205
24/01/2018,3CBN-51-02-CARI-01-03,In Service,Fixed Wireless,145.416796,-38.161011
24/01/2018,3CBN-51-02-CARI-01-04,In Service,Fixed Wireless,145.410982,-38.12025
24/01/2018,3CBN-51-02-CARI-01-05,In Service,Fixed Wireless,145.427836,-38.138973
24/01/2018,3CBN-51-02-CARI-01-06,In Service,Fixed Wireless,145.446356,-38.160225
24/01/2018,3CBN-51-02-CARI-01-07,In Service,Fixed Wireless,145.414887,-38.143084
25/01/2018,3CBN-51-04-DEVO-01-01,In Service,Fixed Wireless,145.286756,-38.168522
25/01/2018,3CBN-51-04-DEVO-01-02,In Service,Fixed Wireless,145.302006,-38.166653
25/01/2018,3CBN-51-04-DEVO-01-03,In Service,Fixed Wireless,145.303748,-38.189427
25/01/2018,3CBN-51-04-DEVO-01-04,In Service,Fixed Wireless,145.287728,-38.164276
25/01/2018,3CBN-51-04-DEVO-01-05,In Service,Fixed Wireless,145.321367,-38.175019
31/01/2018,3CBN-51-07-PEAL-01-01,In Service,Fixed Wireless,145.257012,-38.172802
31/01/2018,3CBN-51-07-PEAL-01-02,In Service,Fixed Wireless,145.285171,-38.202867
31/01/2018,3CBN-51-07-PEAL-01-03,In Service,Fixed Wireless,145.257595,-38.196471
31/01/2018,3CBN-51-07-PEAL-01-04,In Service,Fixed Wireless,145.229103,-38.188899
31/01/2018,3CBN-51-07-PEAL-01-05,In Service,Fixed Wireless,145.229895,-38.176514
31/01/2018,3CBN-51-07-PEAL-01-06,In Service,Fixed Wireless,145.275877,-38.171765
31/01/2018,3CBN-51-07-PEAL-01-07,In Service,Fixed Wireless,145.259743,-38.190186
31/01/2018,3CBN-51-07-PEAL-01-08,In Service,Fixed Wireless,145.25157,-38.173189
25/01/2018,3CBN-51-08-TOOI-01-01,In Service,Fixed Wireless,145.388453,-38.157217
25/01/2018,3CBN-51-08-TOOI-01-02,In Service,Fixed Wireless,145.421359,-38.191696
25/01/2018,3CBN-51-08-TOOI-01-03,In Service,Fixed Wireless,145.352377,-38.202149
25/01/2018,3CBN-51-08-TOOI-01-04,In Service,Fixed Wireless,145.390826,-38.187556
25/01/2018,3CBN-51-08-TOOI-01-06,In Service,Fixed Wireless,145.408295,-38.203083
25/01/2018,3CBN-51-08-TOOI-11-05,In Service,Fixed Wireless,145.360939,-38.169316
30/11/2020,3CBN-51-09-DVMN-01-01,Proposed,Fixed Wireless,145.296854,-38.151122
30/11/2020,3CBN-51-09-DVMN-01-02,Proposed,Fixed Wireless,145.302828,-38.154115
30/11/2020,3CBN-51-09-DVMN-01-03,Proposed,Fixed Wireless,145.302157,-38.149791
30/11/2020,3CBN-51-09-DVMN-01-04,Proposed,Fixed Wireless,145.307158,-38.151224
30/11/2020,3CBN-51-09-DVMN-01-05,Proposed,Fixed Wireless,145.305918,-38.155958
30/11/2020,3CBN-51-09-DVMN-01-06,Proposed,Fixed Wireless,145.310809,-38.151705
30/11/2020,3CBN-51-09-DVMN-01-07,Proposed,Fixed Wireless,145.333524,-38.156125
30/11/2020,3CBN-51-09-DVMN-01-08,Proposed,Fixed Wireless,145.305824,-38.160462
30/11/2020,3CBN-51-09-DVMN-01-09,Proposed,Fixed Wireless,145.31181,-38.160999
30/11/2020,3CBN-51-09-DVMN-01-10,Proposed,Fixed Wireless,145.304341,-38.16088
30/11/2020,3CBN-51-09-DVMN-01-11,Proposed,Fixed Wireless,145.295307,-38.157795
30/11/2020,3CBN-51-09-DVMN-01-12,Proposed,Fixed Wireless,145.297832,-38.160584
28/06/2019,3CBN-51-10-PEAA-01-01,In Service,Fixed Wireless,145.195647,-38.19553
28/06/2019,3CBN-51-10-PEAA-01-04,In Service,Fixed Wireless,145.191368,-38.208089
28/06/2019,3CBN-51-10-PEAA-01-06,In Service,Fixed Wireless,145.158192,-38.206149
28/06/2019,3CBN-51-10-PEAA-11-02,In Service,Fixed Wireless,145.190977,-38.194769
28/06/2019,3CBN-51-10-PEAA-11-03,In Service,Fixed Wireless,145.199197,-38.200921
28/06/2019,3CBN-51-10-PEAA-11-05,In Service,Fixed Wireless,145.203294,-38.208096
28/06/2019,3CBN-51-10-PEAA-11-07,In Service,Fixed Wireless,145.183511,-38.204855
31/01/2018,3CBN-51-11-TYAB-01-01,In Service,Fixed Wireless,145.27872,-38.22072
31/01/2018,3CBN-51-11-TYAB-01-02,In Service,Fixed Wireless,145.239592,-38.247494
