Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,longitude,latitude
Fibre to the Basement,17/09/2018,3EXH-A0678,In Service,144.971218,-37.815478
Fibre to the Basement,23/10/2018,3EXH-A0679,In Service,144.968676,-37.816187
Fibre to the Basement,29/03/2019,3EXH-A0681,In Service,144.970734,-37.811516
Fibre to the Basement,29/03/2019,3EXH-A0682,In Service,144.971246,-37.812685
Fibre to the Basement,29/03/2019,3EXH-A0683,In Service,144.973417,-37.813101
Fibre to the Basement,17/09/2018,3EXH-A0684,In Service,144.973719,-37.813722
Fibre to the Basement,24/10/2018,3EXH-A0685,In Service,144.969081,-37.816043
Fibre to the Basement,29/03/2019,3EXH-A0687,In Service,144.97115,-37.809961
Fibre to the Basement,25/09/2018,3EXH-A0690,In Service,144.972625,-37.814305
Fibre to the Basement,25/09/2018,3EXH-A0691,In Service,144.971369,-37.815941
Fibre to the Basement,19/10/2018,3EXH-A0692,In Service,144.967393,-37.81585
Fibre to the Basement,12/09/2018,3EXH-A0697,In Service,144.970578,-37.809285
Fibre to the Basement,19/10/2018,3EXH-A0700,In Service,144.965342,-37.816202
Fibre to the Basement,30/10/2018,3EXH-A0701,In Service,144.966393,-37.816405
Fibre to the Basement,19/10/2018,3EXH-A0703,In Service,144.965724,-37.816099
Fibre to the Basement,23/10/2018,3EXH-A0706,In Service,144.9663,-37.81686
Fibre to the Basement,17/09/2018,3EXH-A0707,In Service,144.971729,-37.815463
Fibre to the Basement,24/10/2018,3EXH-A0709,In Service,144.965962,-37.816494
Fibre to the Basement,5/10/2018,3EXH-A0710,In Service,144.970836,-37.815603
Fibre to the Basement,5/10/2018,3EXH-A0713,In Service,144.971475,-37.815896
Fibre to the Basement,25/10/2018,3EXH-A0716,In Service,144.964971,-37.816591
Fibre to the Basement,25/10/2018,3EXH-A0717,In Service,144.966705,-37.816742
Fibre to the Basement,29/03/2019,3EXH-A0719,In Service,144.973548,-37.813052
Fibre to the Basement,29/03/2019,3EXH-A0720,In Service,144.972708,-37.81342
Fibre to the Basement,24/10/2018,3EXH-A0722,In Service,144.968507,-37.816318
Fibre to the Basement,1/11/2018,3EXH-A0723,In Service,144.965299,-37.817241
Fibre to the Basement,29/03/2019,3EXH-A0725,In Service,144.972051,-37.810127
Fibre to the Basement,29/03/2019,3EXH-A0726,In Service,144.973177,-37.81327
Fibre to the Basement,29/03/2019,3EXH-A0727,In Service,144.97247,-37.813465
Fibre to the Basement,26/04/2019,3EXH-A0728,In Service,144.968839,-37.812
Fibre to the Basement,23/10/2018,3EXH-A0729,In Service,144.968762,-37.815406
Fibre to the Basement,31/05/2019,3EXH-A0730,In Service,144.964532,-37.814456
Fibre to the Basement,26/10/2018,3EXH-A0732,In Service,144.9662,-37.816427
Fibre to the Basement,26/10/2018,3EXH-A0733,In Service,144.969085,-37.816709
Fibre to the Basement,19/10/2018,3EXH-A0734,In Service,144.968313,-37.815593
Fibre to the Basement,8/02/2019,3EXH-A0735,In Service,144.965596,-37.816603
Fibre to the Basement,31/12/2018,3EXH-A0737,In Service,144.962069,-37.810877
Fibre to the Basement,31/05/2019,3EXH-A0738,In Service,144.966096,-37.81529
Fibre to the Basement,29/03/2019,3EXH-A0739,In Service,144.971449,-37.813301
Fibre to the Basement,29/03/2019,3EXH-A0740,In Service,144.971624,-37.81362
Fibre to the Basement,5/12/2018,3EXH-A0743,In Service,144.965156,-37.816251
Fibre to the Basement,31/12/2018,3EXH-A0744,In Service,144.96484,-37.812524
Fibre to the Basement,31/12/2018,3EXH-A0745,In Service,144.964863,-37.813011
Fibre to the Basement,29/03/2019,3EXH-A0746,In Service,144.971505,-37.810836
Fibre to the Basement,18/01/2019,3EXH-A0748,In Service,144.962672,-37.809172
Fibre to the Basement,11/01/2019,3EXH-A0749,In Service,144.964266,-37.811233
Fibre to the Basement,31/12/2018,3EXH-A0750,In Service,144.964432,-37.813291
Fibre to the Basement,4/01/2019,3EXH-A0751,In Service,144.962757,-37.810883
Fibre to the Basement,31/12/2018,3EXH-A0752,In Service,144.963815,-37.810865
Fibre to the Basement,31/12/2018,3EXH-A0753,In Service,144.964834,-37.813315
Fibre to the Basement,26/04/2019,3EXH-A0754,In Service,144.96896,-37.813492
Fibre to the Basement,26/04/2019,3EXH-A0758,In Service,144.967341,-37.811792
Fibre to the Basement,17/09/2018,3EXH-A0759,In Service,144.97193,-37.815877
Fibre to the Basement,11/12/2018,3EXH-A0760,In Service,144.967805,-37.81542
Fibre to the Basement,9/01/2019,3EXH-A0761,In Service,144.963723,-37.81244
Fibre to the Basement,31/12/2018,3EXH-A0762,In Service,144.963752,-37.810369
Fibre to the Basement,26/04/2019,3EXH-A0763,In Service,144.968139,-37.811993
Fibre to the Basement,31/05/2019,3EXH-A0764,In Service,144.965774,-37.814494
Fibre to the Basement,31/12/2018,3EXH-A0765,In Service,144.962756,-37.81131
Fibre to the Basement,9/01/2019,3EXH-A0766,In Service,144.965087,-37.817647
Fibre to the Basement,29/03/2019,3EXH-A0767,In Service,144.970158,-37.810265
Fibre to the Basement,31/05/2019,3EXH-A0768,In Service,144.963963,-37.814576
Fibre to the Basement,31/05/2019,3EXH-A0769,In Service,144.968151,-37.814643
Fibre to the Basement,17/10/2019,3EXH-A0771,In Service,144.966775,-37.81482
Fibre to the Basement,31/05/2019,3EXH-A0772,In Service,144.965801,-37.81473
Fibre to the Basement,31/05/2019,3EXH-A0773,In Service,144.964347,-37.814737
Fibre to the Basement,31/05/2019,3EXH-A0774,In Service,144.967437,-37.814837
Fibre to the Basement,31/05/2019,3EXH-A0775,In Service,144.96403,-37.814868
Fibre to the Basement,31/05/2019,3EXH-A0777,In Service,144.965371,-37.814905
Fibre to the Basement,31/05/2019,3EXH-A0778,In Service,144.967844,-37.814504
Fibre to the Basement,31/05/2019,3EXH-A0779,In Service,144.965223,-37.814242
Fibre to the Basement,31/05/2019,3EXH-A0780,In Service,144.963659,-37.814423
Fibre to the Basement,31/05/2019,3EXH-A0782,In Service,144.967321,-37.814399
Fibre to the Basement,31/05/2019,3EXH-A0783,In Service,144.964897,-37.814358
Fibre to the Basement,31/05/2019,3EXH-A0784,In Service,144.96416,-37.814327
Fibre to the Basement,31/05/2019,3EXH-A0785,In Service,144.968173,-37.814346
Fibre to the Basement,31/05/2019,3EXH-A0786,In Service,144.966739,-37.814141
Fibre to the Basement,31/05/2019,3EXH-A0788,In Service,144.965532,-37.813948
Fibre to the Basement,31/05/2019,3EXH-A0789,In Service,144.967581,-37.813908
Fibre to the Basement,18/06/2019,3EXH-A0790,In Service,144.96611,-37.813896
Fibre to the Basement,31/05/2019,3EXH-A0791,In Service,144.963861,-37.815068
Fibre to the Basement,31/05/2019,3EXH-A0792,In Service,144.967159,-37.813837
Fibre to the Basement,31/05/2019,3EXH-A0793,In Service,144.965475,-37.813818
Fibre to the Basement,31/05/2019,3EXH-A0795,In Service,144.967588,-37.81492
Fibre to the Basement,30/06/2020,3EXH-A0797,In Service,144.965759,-37.81507
Fibre to the Basement,17/05/2019,3EXH-A0799,In Service,144.97972,-37.817512
Fibre to the Basement,17/05/2019,3EXH-A0800,In Service,144.977467,-37.817612
Fibre to the Basement,17/05/2019,3EXH-A0801,In Service,144.979127,-37.817864
Fibre to the Basement,17/05/2019,3EXH-A0802,In Service,144.978269,-37.817949
Fibre to the Basement,17/05/2019,3EXH-A0803,In Service,144.979072,-37.818192
Fibre to the Basement,17/05/2019,3EXH-A0807,In Service,144.980869,-37.818263
Fibre to the Basement,17/05/2019,3EXH-A0808,In Service,144.983261,-37.819963
Fibre to the Basement,21/05/2019,3EXH-A0809,In Service,144.979907,-37.821695
Fibre to the Basement,21/05/2019,3EXH-A0810,In Service,144.969039,-37.817687
Fibre to the Basement,21/05/2019,3EXH-A0811,In Service,144.983749,-37.82505
Fibre to the Basement,31/05/2019,3EXH-A0812,In Service,144.964228,-37.815979
Fibre to the Basement,17/05/2019,3EXH-A0813,In Service,144.97919,-37.817501
Fibre to the Basement,31/05/2019,3EXH-A0817,In Service,144.964424,-37.815139
Fibre to the Basement,31/05/2019,3EXH-A0818,In Service,144.963945,-37.815282
Fibre to the Basement,31/05/2019,3EXH-A0819,In Service,144.964904,-37.815375
Fibre to the Basement,31/05/2019,3EXH-A0820,In Service,144.965968,-37.815397
Fibre to the Basement,31/05/2019,3EXH-A0821,In Service,144.965692,-37.815407
Fibre to the Basement,19/08/2019,3EXH-A0822,In Service,144.964018,-37.815444
Fibre to the Basement,31/05/2019,3EXH-A0825,In Service,144.964369,-37.815622
Fibre to the Basement,31/05/2019,3EXH-A0826,In Service,144.964756,-37.815623
Fibre to the Basement,31/05/2019,3EXH-A0827,In Service,144.967436,-37.813569
Fibre to the Basement,17/05/2019,3EXH-A0828,In Service,144.975976,-37.816448
Fibre to the Basement,17/05/2019,3EXH-A0829,In Service,144.978423,-37.816746
Fibre to the Basement,17/05/2019,3EXH-A0830,In Service,144.979272,-37.817022
Fibre to the Basement,31/05/2019,3EXH-A0831,In Service,144.964171,-37.81573
Fibre to the Basement,31/05/2019,3EXH-A0833,In Service,144.967645,-37.813204
Fibre to the Basement,29/03/2019,3EXH-A0834,In Service,144.972497,-37.811057
Fibre to the Basement,29/03/2019,3EXH-A0835,In Service,144.971866,-37.809947
Fibre to the Basement,29/03/2019,3EXH-A0836,In Service,144.9709,-37.810004
Fibre to the Basement,29/03/2019,3EXH-A0837,In Service,144.972165,-37.810328
Fibre to the Basement,29/03/2019,3EXH-A0839,In Service,144.971831,-37.810407
Fibre to the Basement,29/03/2019,3EXH-A0840,In Service,144.97224,-37.810728
Fibre to the Basement,7/05/2019,3EXH-A0841,In Service,144.97183,-37.810943
Fibre to the Basement,29/03/2019,3EXH-A0842,In Service,144.971109,-37.810983
Fibre to the Basement,29/03/2019,3EXH-A0843,In Service,144.971549,-37.811059
Fibre to the Basement,29/03/2019,3EXH-A0844,In Service,144.971533,-37.809818
Fibre to the Basement,29/03/2019,3EXH-A0845,In Service,144.970625,-37.811219
Fibre to the Basement,17/04/2019,3EXH-A0846,In Service,144.970668,-37.811782
Fibre to the Basement,29/03/2019,3EXH-A0847,In Service,144.971906,-37.811978
Fibre to the Basement,29/03/2019,3EXH-A0848,In Service,144.972923,-37.811993
Fibre to the Basement,15/04/2019,3EXH-A0849,In Service,144.971449,-37.812272
Fibre to the Basement,28/03/2019,3EXH-A0850,In Service,144.972676,-37.812332
Fibre to the Basement,29/03/2019,3EXH-A0851,In Service,144.971107,-37.812402
Fibre to the Basement,29/03/2019,3EXH-A0852,In Service,144.971182,-37.81258
Fibre to the Basement,29/03/2019,3EXH-A0853,In Service,144.971384,-37.809888
Fibre to the Basement,31/12/2018,3EXH-A0854,In Service,144.963128,-37.812924
Fibre to the Basement,29/03/2019,3EXH-A0855,In Service,144.971356,-37.813101
Fibre to the Basement,13/12/2019,3EXH-A0860,In Service,144.963763,-37.808374
Fibre to the Basement,19/08/2019,3EXH-A0866,In Service,144.96642,-37.8106
Fibre to the Basement,17/05/2019,3EXH-A0867,In Service,144.973591,-37.808493
Fibre to the Basement,17/05/2019,3EXH-A0868,In Service,144.974888,-37.808634
Fibre to the Basement,3/04/2020,3EXH-A0869,In Service,144.977726,-37.808932
Fibre to the Basement,17/05/2019,3EXH-A0870,In Service,144.977894,-37.808953
Fibre to the Basement,17/05/2019,3EXH-A0871,In Service,144.97352,-37.808991
Fibre to the Basement,17/05/2019,3EXH-A0872,In Service,144.974454,-37.809006
Fibre to the Basement,17/05/2019,3EXH-A0873,In Service,144.975156,-37.809022
Fibre to the Basement,17/05/2019,3EXH-A0874,In Service,144.974677,-37.809071
Fibre to the Basement,29/03/2019,3EXH-A0876,In Service,144.973183,-37.812599
Fibre to the Basement,29/03/2019,3EXH-A0877,In Service,144.972892,-37.813305
Fibre to the Basement,31/05/2019,3EXH-A0878,In Service,144.967968,-37.813109
Fibre to the Basement,29/03/2019,3EXH-A0879,In Service,144.971414,-37.81034
Fibre to the Basement,26/04/2019,3EXH-A0881,In Service,144.965263,-37.81199
Fibre to the Basement,26/04/2019,3EXH-A0882,In Service,144.968524,-37.812078
Fibre to the Basement,26/04/2019,3EXH-A0884,In Service,144.965423,-37.812326
Fibre to the Basement,26/04/2019,3EXH-A0885,In Service,144.96727,-37.812448
Fibre to the Basement,26/04/2019,3EXH-A0886,In Service,144.968385,-37.812472
Fibre to the Basement,26/04/2019,3EXH-A0887,In Service,144.966872,-37.812588
Fibre to the Basement,26/04/2019,3EXH-A0888,In Service,144.967787,-37.812647
Fibre to the Basement,26/04/2019,3EXH-A0889,In Service,144.968927,-37.811039
Fibre to the Basement,29/05/2019,3EXH-A0890,In Service,144.966195,-37.812759
Fibre to the Basement,29/04/2019,3EXH-A0891,In Service,144.970423,-37.812838
Fibre to the Basement,26/04/2019,3EXH-A0892,In Service,144.968837,-37.812881
Fibre to the Basement,26/04/2019,3EXH-A0893,In Service,144.96585,-37.812885
Fibre to the Basement,26/04/2019,3EXH-A0894,In Service,144.969797,-37.812991
Fibre to the Basement,26/04/2019,3EXH-A0898,In Service,144.967989,-37.811338
